accession,organism_name,organism_tidy_name,country,isolation_source,genome_size,cell_type,temp_cat,classic,hybrid,unorthodox,h_pt,his_ka,che_a,ntr_c,prr_a,omp_r,nar_l,cy_c_c,lyt_tr,spo0a,yes_n,che_b,rpf_g,che_v,rsb_u,ami_r_nas_r,ple_d_vie_a,ple_d,vie_a,cit_t,che_y,csr_a,ycb_b,pil_b,lys_r,ars_r,frz_z,sarp,mer_r,bet_r,alp_a,hxl_r,xre,che_c,trx_b,lmb_e,wca_a,pgl_z,vie_b,hal_x,icl_r,unclassified
GCA_007096525.1,Microcystis wesenbergii Mw_QC_B_20070930_S4,Microcystis_wesenbergii_Mw_QC_B_20070930_S4,Canada: Quebec; Brome Lake,non-axenic culture from freshwater,4495191,single,cold-freezing,10,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096535.1,Microcystis wesenbergii Mw_QC_S_20081001_S30,Microcystis_wesenbergii_Mw_QC_S_20081001_S30,Canada: Quebec; Selby lake,non-axenic culture from freshwater,4360859,single,cold-freezing,10,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096555.1,Microcystis wesenbergii Mw_MB_S_20031200_S109D,Microcystis_wesenbergii_Mw_MB_S_20031200_S109D,Brazil: Minas Gerais; Santa Lake,non-axenic culture from freshwater,4447443,single,temperate,12,5,0,1,3,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096585.1,Microcystis wesenbergii Mw_MB_S_20031200_S109,Microcystis_wesenbergii_Mw_MB_S_20031200_S109,Brazil: Minas Gerais; Santa Lake,non-axenic culture from freshwater,4093096,single,temperate,11,5,0,1,3,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096595.1,Microcystis flos-aquae Mf_WU_F_19750830_S460,Microcystis_flos_aquae_Mf_WU_F_19750830_S460,USA: Wisconsin; Fox river,non-axenic culture from freshwater,4159678,single,temperate,15,6,0,1,2,1,0,0,9,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096625.1,Microcystis flos-aquae Mf_QC_C_20070823_S10D,Microcystis_flos_aquae_Mf_QC_C_20070823_S10D,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4632803,single,cold-freezing,12,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096665.1,Microcystis flos-aquae Mf_QC_C_20070823_S10,Microcystis_flos_aquae_Mf_QC_C_20070823_S10,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4659244,single,cold-freezing,11,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096675.1,Microcystis flos-aquae Mf_QC_C_20070823_S20T,Microcystis_flos_aquae_Mf_QC_C_20070823_S20T,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4655702,single,cold-freezing,12,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096705.1,Microcystis flos-aquae Mf_QC_C_20070823_S20,Microcystis_flos_aquae_Mf_QC_C_20070823_S20,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4650850,single,cold-freezing,12,6,1,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096715.1,Microcystis flos-aquae Mf_QC_C_20070823_S20D,Microcystis_flos_aquae_Mf_QC_C_20070823_S20D,Canada: Quebec; Champlain Lake,non-axenic culture from freshwater,4650234,single,cold-freezing,12,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007096765.1,Microcystis panniformis Mp_MB_F_20080800_S26D,Microcystis_panniformis_Mp_MB_F_20080800_S26D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4761960,single,temperate,13,5,0,1,3,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096775.1,Microcystis panniformis Mp_GB_SS_20050300_S99D,Microcystis_panniformis_Mp_GB_SS_20050300_S99D,Brazil: Goias-Brazil; Sao Simao Lake,non-axenic culture from freshwater,4755025,single,temperate,13,5,0,1,2,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096785.1,Microcystis panniformis Mp_MB_F_20080800_S26,Microcystis_panniformis_Mp_MB_F_20080800_S26,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4645112,single,temperate,13,5,0,1,2,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096805.1,Microcystis panniformis Mp_MB_F_20051200_S9D,Microcystis_panniformis_Mp_MB_F_20051200_S9D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4788160,single,temperate,13,5,0,1,2,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096815.1,Microcystis panniformis Mp_GB_SS_20050300_S99,Microcystis_panniformis_Mp_GB_SS_20050300_S99,Brazil: Goias-Brazil; Sao Simao Lake,non-axenic culture from freshwater,4622124,single,temperate,13,5,0,1,3,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096865.1,Microcystis panniformis Mp_MB_F_20051200_S9,Microcystis_panniformis_Mp_MB_F_20051200_S9,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4507580,single,temperate,13,5,0,1,2,1,0,0,8,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096895.1,Microcystis panniformis Mp_MB_F_20051200_S6D,Microcystis_panniformis_Mp_MB_F_20051200_S6D,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4778625,single,temperate,12,5,0,1,2,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007096905.1,Microcystis panniformis Mp_MB_F_20051200_S6,Microcystis_panniformis_Mp_MB_F_20051200_S6,Brazil: Minas Gerais; Furnas Lake,non-axenic culture from freshwater,4636995,single,temperate,12,5,0,1,2,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_007692715.1,Leptolyngbya sp. LCM1.Bin17,Leptolyngbya_sp__LCM1_Bin17,Canada: Cariboo Plateau,alkaline salt lake,4618092,filament,temperate,23,6,0,0,2,3,0,0,13,6,2,0,0,1,0,0,0,1,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCA_007693955.1,Gloeocapsa sp. DLM2.Bin57,Gloeocapsa_sp__DLM2_Bin57,Canada: Cariboo Plateau,alkaline salt lake,3451834,single,temperate,16,4,0,1,2,2,0,0,8,3,0,0,0,0,0,1,1,1,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GCA_007694125.1,Leptolyngbya sp. DLM2.Bin15,Leptolyngbya_sp__DLM2_Bin15,Canada: Cariboo Plateau,alkaline salt lake,5006105,filament,temperate,56,36,0,1,1,2,0,0,12,8,1,0,0,1,0,1,0,2,0,4,5,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCA_007694915.1,Cyanobium sp. PLM2.Bin73,Cyanobium_sp__PLM2_Bin73,Canada: Cariboo Plateau,alkaline salt lake,2722604,single,temperate,9,0,0,0,1,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_007732545.1,Arthrospira sp. PLM2.Bin9,Arthrospira_sp__PLM2_Bin9,Canada: Cariboo Plateau,alkaline salt lake,4788243,filament,temperate,39,34,4,0,0,3,0,0,13,6,3,0,0,0,2,0,0,2,0,4,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCF_008121535.1,Dolichospermum sp. UHCC 0315A,Dolichospermum_sp__UHCC_0315A,Finland: Helsinki,Gulf of Finland,5642022,filament,cold-freezing,19,9,0,1,1,2,0,0,10,9,0,0,0,1,0,0,0,2,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCF_008807075.1,Synechococcus sp. RSCCF101,Synechococcus_sp__RSCCF101,Saudi Arabia: Red Sea,Red Sea water,2984853,single,temperate,7,1,1,1,2,0,0,0,7,4,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_009498715.1,Synechococcus elongatus PCC 11802,Synechococcus_elongatus_PCC_11802,India: Powai Lake; Mumbai,Powai Lake; Mumbai; India,2760484,single,temperate,9,2,0,1,2,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCF_009711925.1,Dolichospermum sp. UHCC 0352,Dolichospermum_sp__UHCC_0352,Finland: Lake Tuusulanjarvi,Freshwater lake,5128860,filament,cold-freezing,17,9,1,1,1,2,0,0,8,7,0,0,0,1,0,0,0,3,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCF_009711935.1,Dolichospermum sp. UHCC 0259,Dolichospermum_sp__UHCC_0259,Finland: The Gulf of Finland; Baltic Sea,Brackish water,5635377,filament,temperate,46,23,1,1,3,3,0,0,13,8,1,0,0,1,0,0,0,3,0,2,3,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
GCF_009711965.1,Dolichospermum sp. UHCC 0299,Dolichospermum_sp__UHCC_0299,Finland: Lake Vesijarvi; Lahti,Freshwater lake,5125448,filament,temperate,20,8,0,1,1,2,0,0,9,7,0,0,0,1,0,0,0,2,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCF_009711985.1,Dolichospermum sp. UHCC 0260,Dolichospermum_sp__UHCC_0260,Finland: The Gulf of Finland; Baltic Sea,Brackish water,4921436,filament,temperate,18,9,0,1,2,2,0,0,9,7,0,0,0,1,0,0,0,2,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GCF_009712025.1,Dolichospermum sp. UHCC 0406,Dolichospermum_sp__UHCC_0406,Finland: Lake Tuusulanjarvi,Freshwater lake,5181811,filament,cold-freezing,19,9,0,1,1,2,0,0,9,7,0,0,0,1,0,0,0,2,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
GCF_009873495.1,Nostoc sp. ATCC 53789,Nostoc_sp__ATCC_53789,United Kingdom: Scotland; Arron Island,lichen thallus,8653730,filament,temperate,99,60,5,0,2,4,0,0,25,17,0,0,0,2,0,1,0,3,0,2,3,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
GCA_009909085.1,Cyanobacteria bacterium GSL.Bin1,Cyanobacteria_bacterium_GSL_Bin1,USA: Bridger Bay in Great Salt Lake; Utah,Microbial Mat,4822295,NA,temperate,18,11,2,1,3,3,0,0,14,7,0,0,0,1,0,0,0,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCA_009927805.1,Synechococcaceae bacterium LLD_019,Synechococcaceae_bacterium_LLD_019,USA: Chattahoochee River,water samples from lakes and estuaries along the Chattahoochee River collected between June/2010 and December/2014,2020506,single,cold-freezing,7,0,0,0,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009993545.1,Cyanobacteria bacterium CG_2015-16_32_12,Cyanobacteria_bacterium_CG_2015_16_32_12,USA: Utah; Crystal Geyser near Green River,subsurface aquifer,3346745,NA,temperate,17,7,1,1,2,4,0,0,12,2,0,0,0,0,0,0,0,1,0,2,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
GCA_009993925.1,Cyanobacteria bacterium CG_2015-09_32_10,Cyanobacteria_bacterium_CG_2015_09_32_10,USA: Utah; Crystal Geyser near Green River,subsurface aquifer,3305063,NA,temperate,15,8,1,2,2,4,0,0,12,3,0,0,0,0,0,0,0,1,0,2,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
GCA_009995625.1,Microcystis aeruginosa W13-16,Microcystis_aeruginosa_W13_16,USA: Kalamazoo County; MI,Wintergreen Lake,5005468,single,cold-freezing,12,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995635.1,Microcystis aeruginosa W13-18,Microcystis_aeruginosa_W13_18,USA: Kalamazoo County; MI,Wintergreen Lake,4974513,single,cold-freezing,12,6,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009995645.1,Microcystis aeruginosa W13-15,Microcystis_aeruginosa_W13_15,USA: Kalamazoo County; MI,Wintergreen Lake,5065390,single,cold-freezing,12,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995685.1,Microcystis aeruginosa W13-13,Microcystis_aeruginosa_W13_13,USA: Kalamazoo County; MI,Wintergreen Lake,4964311,single,cold-freezing,12,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995705.1,Microcystis aeruginosa W13-11,Microcystis_aeruginosa_W13_11,USA: Kalamazoo County; MI,Wintergreen Lake,4866322,single,cold-freezing,13,5,0,1,2,1,0,0,9,4,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995725.1,Microcystis aeruginosa SX13-11,Microcystis_aeruginosa_SX13_11,USA: Allegan County; MI,Sixteen Lake,5088571,single,cold-freezing,12,6,0,2,2,1,0,0,6,5,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995765.1,Microcystis aeruginosa W11-06,Microcystis_aeruginosa_W11_06,USA: Kalamazoo County; MI,Wintergreen Lake,4480325,single,cold-freezing,11,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995775.1,Microcystis aeruginosa W11-03,Microcystis_aeruginosa_W11_03,USA: Kalamazoo County; MI,Wintergreen Lake,4478998,single,cold-freezing,11,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995785.1,Microcystis aeruginosa S11-05,Microcystis_aeruginosa_S11_05,USA: Kalamazoo County; MI,Sherman Lake,4975521,single,cold-freezing,12,6,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009995825.1,Microcystis aeruginosa S11-01,Microcystis_aeruginosa_S11_01,USA: Kalamazoo County; MI,Sherman Lake,4979827,single,cold-freezing,13,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009995845.1,Microcystis aeruginosa LG13-13,Microcystis_aeruginosa_LG13_13,USA: Ingham County; MI,Lansing Lake,5048915,single,cold-freezing,12,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995855.1,Microcystis aeruginosa LL11-07,Microcystis_aeruginosa_LL11_07,USA: Barry County; MI,Little Long Lake,5150581,single,cold-freezing,11,6,0,2,2,1,0,0,6,4,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995885.1,Microcystis aeruginosa LL13-03,Microcystis_aeruginosa_LL13_03,USA: Barry County; MI,Little Long Lake,5133314,single,cold-freezing,11,6,0,2,2,1,0,0,6,4,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009995895.1,Microcystis aeruginosa LL13-06,Microcystis_aeruginosa_LL13_06,USA: Barry County; MI,Little Long Lake,4822445,single,cold-freezing,12,6,0,2,3,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995925.1,Microcystis aeruginosa LG13-12,Microcystis_aeruginosa_LG13_12,USA: Ingham County; MI,Lansing Lake,4984250,single,cold-freezing,12,5,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995945.1,Microcystis aeruginosa LG13-11,Microcystis_aeruginosa_LG13_11,USA: Ingham County; MI,Lansing Lake,5079950,single,cold-freezing,16,6,0,1,3,1,0,0,9,6,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009995965.1,Microcystis aeruginosa LG11-05,Microcystis_aeruginosa_LG11_05,USA: Ingham County; MI,Lansing Lake,5059631,single,cold-freezing,12,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995985.1,Microcystis aeruginosa LG13-03,Microcystis_aeruginosa_LG13_03,USA: Ingham County; MI,Lansing Lake,5040932,single,cold-freezing,12,5,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009995995.1,Microcystis aeruginosa LE13-04,Microcystis_aeruginosa_LE13_04,USA: Calhoun County; MI,Lee Lake,5037574,single,cold-freezing,13,6,0,2,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009996025.1,Microcystis aeruginosa L311-01,Microcystis_aeruginosa_L311_01,USA: Ingham County; MI,MSU3 Lake,4768617,single,temperate,13,5,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009996045.1,Microcystis aeruginosa L211-101,Microcystis_aeruginosa_L211_101,USA: Ingham County; MI,MSU2 Lake,5104737,single,cold-freezing,14,6,0,1,2,1,0,0,8,6,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009996055.1,Microcystis aeruginosa L211-11,Microcystis_aeruginosa_L211_11,USA: Ingham County; MI,MSU2 Lake,5115307,single,cold-freezing,14,6,0,1,2,1,0,0,8,6,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009996085.1,Microcystis aeruginosa L211-07,Microcystis_aeruginosa_L211_07,USA: Ingham County; MI,MSU2 Lake,4934342,single,cold-freezing,13,5,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996095.1,Microcystis aeruginosa L111-01,Microcystis_aeruginosa_L111_01,USA: Ingham County; MI,MSU1 Lake,5012425,single,temperate,11,6,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996105.1,Microcystis aeruginosa K13-10,Microcystis_aeruginosa_K13_10,USA: Oakland County; MI,Kent Lake,5313379,single,cold-freezing,12,6,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996145.1,Microcystis aeruginosa K13-07,Microcystis_aeruginosa_K13_07,USA: Oakland County; MI,Kent Lake,4981878,single,cold-freezing,12,6,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996165.1,Microcystis aeruginosa K13-06,Microcystis_aeruginosa_K13_06,USA: Oakland County; MI,Kent Lake,4988130,single,cold-freezing,13,5,0,1,2,1,0,0,9,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996185.1,Microcystis aeruginosa K13-05,Microcystis_aeruginosa_K13_05,USA: Oakland County; MI,Kent Lake,5273531,single,cold-freezing,12,5,0,1,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996195.1,Microcystis aeruginosa G13-11,Microcystis_aeruginosa_G13_11,USA: Kalamazoo County; MI,Gull Lake,5017716,single,cold-freezing,12,6,0,2,2,1,0,0,7,4,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009996205.1,Microcystis aeruginosa G13-12,Microcystis_aeruginosa_G13_12,USA: Kalamazoo County; MI,Gull Lake,5074513,single,cold-freezing,12,6,0,2,2,1,0,0,8,4,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996235.1,Microcystis aeruginosa G13-10,Microcystis_aeruginosa_G13_10,USA: Kalamazoo County; MI,Gull Lake,5115854,single,cold-freezing,13,6,0,2,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996255.1,Microcystis aeruginosa G13-09,Microcystis_aeruginosa_G13_09,USA: Gull Lake,Gull Lake,4912351,single,temperate,12,6,0,2,2,1,0,0,6,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996285.1,Microcystis aeruginosa G13-05,Microcystis_aeruginosa_G13_05,USA: Kalamazoo County; MI,Gull Lake,5110248,single,cold-freezing,13,6,0,2,2,1,0,0,8,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009996305.1,Microcystis aeruginosa G13-07,Microcystis_aeruginosa_G13_07,USA: Kalamazoo County; MI,Gull Lake,5086490,single,cold-freezing,12,6,0,2,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009996315.1,Microcystis aeruginosa G13-03,Microcystis_aeruginosa_G13_03,USA: Kalamazoo County; MI,Gull Lake,5124586,single,temperate,13,6,0,2,2,1,0,0,8,4,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009996325.1,Microcystis aeruginosa G13-01,Microcystis_aeruginosa_G13_01,USA: Kalamazoo County; MI,Gull Lake,5071891,single,cold-freezing,11,6,0,2,2,1,0,0,6,4,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996365.1,Microcystis aeruginosa G11-09,Microcystis_aeruginosa_G11_09,USA: Kalamazoo County; MI,Water Sample from freshwater lake,5067842,single,cold-freezing,13,6,0,2,2,1,0,0,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996385.1,Microcystis aeruginosa G11-06,Microcystis_aeruginosa_G11_06,USA: Kalamazoo County; MI,Gull Lake,5135684,single,cold-freezing,13,4,0,2,2,1,0,0,6,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GCA_009996405.1,Microcystis aeruginosa G11-01,Microcystis_aeruginosa_G11_01,USA: Kalamazoo County; MI,Gull Lake,5239892,single,cold-freezing,13,6,0,2,2,1,0,0,8,4,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996415.1,Microcystis aeruginosa BS13-10,Microcystis_aeruginosa_BS13_10,USA: Allegan County; MI,Baseline Lake,5179655,single,cold-freezing,14,6,0,2,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCA_009996445.1,Microcystis aeruginosa G11-04,Microcystis_aeruginosa_G11_04,USA: Kalamazoo County; MI,Gull Lake,5001263,single,cold-freezing,13,6,0,1,2,1,0,0,7,5,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
